,ლანჩხუთი,თბილისი,ოზურგეთი,ქუთაისი,blank,ხაშური,ჭიათურა,ადიგენი,ბოლნისი,საგარეჯო,ჩოხატაური,წყალტუბო,OCCUPIED,დმანისი,საჩხერე,ფოთი,ხელვაჩაური,ახალციხე,მარნეული,გურჯაანი,რუსთავი,გარდაბანი,თელავი,ნინოწმინდა,ახალქალაქი,ჩხოროწყუ,მცხეთა,ზუგდიდი,სამტრედია,ბაღდათი,მარტვილი,კასპი,ზესტაფონი,ამბროლაური,ვანი,ტყიბული,ყვარელი,გორი,ლაგოდეხი,თეთრიწყარო,ცაგერი,ხონი,წალკა,თიანეთი,დუშეთი,თერჯოლა,ქარელი,ცხინვალი,სიღნაღი,დედოფლისწყარო,სენაკი,ბორჯომი,ახმეტა,ლენტეხი,მესტია,ხობი,ასპინძა,ხარაგაული,ყაზბეგი,OCCUPIEDABKH,ახალგორი,წალენჯიხა,ონი
0,45.88,18.58,12.51,0.81,2.18,0.0,4.95,0.81,0.0,0.0,2.23,1.9,1.32,2.57,0.38,0.0,3.47,0.55,4.64,0.0,3.64,1.88,2.78,2.36,5.37,2.63,0.0,5.36,2.24,0.0,0.0,3.4,0.85,0.0,2.01,0.0,0.0,0.04,1.3,0.0,0.68,0.37,0.0,0.0,0.67,0.73,3.06,0.71,0.0,0.0,0.02,0.24,0.0,0.0,0.0,0.62,0.0,1.11,0.33,0.0,3.16,0.0,0.0
1,0.06,87.85,1.22,0.66,1.81,0.46,0.06,0.31,0.11,0.0,0.32,0.13,0.22,0.19,0.14,0.61,0.01,0.23,0.34,0.0,1.39,0.0,0.04,0.0,0.27,0.04,0.18,0.21,0.0,0.2,0.12,0.2,0.05,0.06,0.04,0.14,0.28,0.19,0.0,0.0,0.09,0.03,0.05,0.0,0.02,0.05,0.07,0.07,0.13,0.16,0.14,0.07,0.0,0.31,0.17,0.0,0.12,0.0,0.05,0.25,0.07,0.03,0.0
2,0.66,30.79,8.95,2.48,0.19,1.16,0.0,0.28,3.12,0.0,0.37,1.77,1.42,47.64,1.06,0.94,0.34,1.1,0.0,0.0,0.47,0.08,0.05,0.0,0.98,1.09,0.66,0.18,0.0,0.61,0.7,0.41,0.89,0.58,0.21,0.72,0.0,0.0,0.0,0.0,0.0,0.04,0.0,1.94,0.0,0.0,0.99,0.0,0.6,0.0,0.61,0.0,1.7,0.15,0.75,0.29,0.0,3.45,0.0,0.34,0.1,0.38,0.15
3,0.0,17.78,0.64,73.05,0.0,0.0,0.0,1.14,0.18,0.12,0.17,0.0,0.77,0.22,0.0,0.28,0.25,0.0,0.0,0.0,0.29,0.0,0.28,0.0,0.12,1.08,0.16,0.0,1.66,0.07,0.0,1.51,0.0,0.37,0.0,0.07,0.0,0.35,0.8,0.0,0.76,0.32,0.0,0.12,0.0,0.0,0.04,0.11,0.0,0.21,0.0,0.45,0.0,0.0,0.0,0.01,0.0,0.53,0.0,0.11,0.32,0.0,0.0
4,1.17,30.29,14.06,9.13,2.88,3.3,1.57,1.59,0.83,0.65,5.07,1.36,0.95,1.01,0.29,3.49,0.0,0.4,3.4,0.0,6.85,1.45,0.1,0.0,0.0,0.45,0.0,1.46,0.0,0.08,2.25,1.39,0.82,0.72,0.79,3.44,0.22,0.0,1.01,0.0,1.02,0.56,2.28,0.16,0.0,0.0,0.0,2.05,1.4,0.0,0.0,0.85,0.0,2.49,0.45,0.0,0.0,0.83,0.0,0.0,0.0,0.73,2.72
5,0.48,40.69,1.4,0.24,0.89,3.2,0.0,0.43,0.0,0.0,0.45,3.15,0.59,0.0,0.0,0.0,0.0,0.0,0.97,2.26,11.03,1.58,0.28,0.0,0.24,1.3,1.02,5.77,0.0,0.0,0.0,2.89,0.0,1.24,0.2,0.0,0.08,0.0,0.0,0.0,3.66,0.33,32.06,0.09,1.13,0.0,4.19,0.0,1.02,0.24,0.0,0.0,0.0,0.0,0.72,0.0,1.19,0.0,0.44,0.16,0.6,0.0,0.15
6,0.0,30.98,0.0,0.0,0.59,44.38,0.19,2.29,0.0,0.0,1.85,0.03,2.21,0.26,0.32,0.0,1.3,0.0,0.0,1.58,0.34,3.28,0.33,0.37,0.0,0.58,0.0,0.32,0.57,0.0,0.35,0.0,0.01,0.88,0.0,0.0,0.0,0.43,0.0,21.45,1.25,0.0,1.37,0.56,0.82,0.0,0.0,0.1,0.75,0.0,0.0,0.0,0.25,0.02,1.41,0.0,0.91,0.08,0.0,0.17,0.0,0.0,0.0
7,2.8,11.69,5.42,10.08,6.53,0.0,20.15,1.61,8.79,3.58,0.0,0.0,0.0,0.0,2.97,1.8,4.39,0.0,0.0,0.0,20.61,0.0,0.0,9.42,0.0,0.62,0.0,0.18,11.84,0.36,0.0,0.0,43.6,2.43,3.99,0.0,4.2,5.22,0.0,0.0,0.0,0.0,1.07,0.0,0.0,11.82,0.0,0.0,0.0,3.5,0.06,1.3,0.0,7.72,5.73,3.98,5.07,0.0,0.0,0.0,10.83,3.22,1.71
8,0.0,19.76,2.18,0.0,0.0,4.02,0.0,0.0,1.18,0.0,0.0,5.55,0.0,3.71,14.76,1.2,2.53,1.07,0.23,0.0,0.83,0.2,0.67,0.0,0.0,0.0,0.0,0.66,0.0,0.03,2.24,1.43,0.0,1.09,0.0,2.06,0.0,2.05,0.0,0.37,0.0,0.8,0.77,0.73,1.99,0.3,0.07,8.83,58.43,0.0,0.0,2.91,5.96,7.55,0.0,0.0,0.0,0.0,8.4,0.78,0.37,1.07,1.41
9,0.07,42.89,0.0,2.38,8.02,7.16,0.0,45.28,3.26,0.0,0.47,1.65,0.0,0.0,0.0,1.91,0.0,0.28,0.0,2.73,1.18,0.0,5.11,0.0,0.0,6.13,0.0,6.6,0.0,2.25,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.3,0.0,2.58,0.0,1.04,1.57,0.0,0.0,0.0,3.35,0.49,0.0,6.39,4.45,0.0,8.37,2.2,6.98,11.24,1.16,1.56,0.0,0.0,0.0,0.0,0.0
10,0.0,18.14,4.48,4.58,0.0,5.08,0.55,2.65,58.77,0.0,0.0,4.26,0.59,8.72,0.74,2.63,0.46,2.59,0.0,1.38,0.0,0.0,0.0,0.0,10.97,0.0,0.0,0.0,0.0,0.0,3.85,0.0,9.1,2.09,0.0,0.0,0.0,2.0,2.89,0.37,1.27,2.78,12.01,2.03,1.27,2.94,0.0,6.35,0.0,0.0,2.81,0.15,0.0,1.93,1.83,1.05,0.0,9.37,0.0,0.0,0.0,0.0,1.61
11,0.0,13.48,0.99,50.58,0.0,5.75,7.91,0.0,0.0,29.27,0.0,2.6,0.0,0.0,0.0,0.23,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.87,2.27,0.0,5.74,0.0,4.24,1.38,0.0,0.98,0.51,0.94,0.0,3.17,0.0,0.0,0.0,1.27,0.0,0.0,0.0,0.76,0.16,2.08,5.1,2.89,0.0,0.0,0.0,0.0,0.0,1.79,0.0,0.0,0.0,0.14,5.52,0.0,0.0,2.84,0.0
