,Born,Sinopharm,Pfizer,SINOVAC,AstraZeneca
0,ლანჩხუთი,47.77,40.04,11.07,1.12
1,თბილისი,30.28,51.59,8.3,9.84
2,ოზურგეთი,35.73,55.17,5.68,3.42
3,ქუთაისი,24.09,65.91,6.54,3.46
4,blank,17.64,75.06,6.82,0.48
5,ხაშური,23.95,64.19,10.6,1.26
6,ჭიათურა,23.68,67.89,6.78,1.65
7,ადიგენი,32.36,55.78,11.86,0.0
8,ბოლნისი,33.04,48.8,10.78,7.39
9,საგარეჯო,35.8,57.06,7.14,0.0
10,ჩოხატაური,34.19,37.88,22.28,5.65
11,წყალტუბო,34.89,56.04,6.65,2.42
12,OCCUPIED,27.58,57.36,8.24,6.82
13,დმანისი,16.19,63.49,13.42,6.9
14,საჩხერე,27.89,59.17,9.81,3.14
15,ფოთი,41.04,42.0,15.4,1.56
16,ხელვაჩაური,27.78,58.62,10.36,3.23
17,ახალციხე,34.63,60.3,4.0,1.07
18,მარნეული,21.54,61.94,12.38,4.14
19,გურჯაანი,26.67,67.43,4.71,1.19
20,რუსთავი,26.43,60.53,8.61,4.43
21,გარდაბანი,32.8,59.09,8.11,0.0
22,თელავი,32.79,55.87,7.06,4.28
23,ნინოწმინდა,65.39,34.61,0.0,0.0
24,ახალქალაქი,53.27,27.22,19.51,0.0
25,ჩხოროწყუ,46.81,42.8,10.39,0.0
26,მცხეთა,29.04,57.57,10.07,3.31
27,ზუგდიდი,26.11,61.23,8.57,4.1
28,სამტრედია,28.96,56.33,11.28,3.42
29,ბაღდათი,12.13,71.17,9.1,7.6
30,მარტვილი,38.29,48.65,13.06,0.0
31,კასპი,30.57,58.49,9.37,1.57
32,ზესტაფონი,23.79,56.15,13.3,6.76
33,ამბროლაური,30.49,50.41,11.81,7.28
34,ვანი,54.33,43.29,0.0,2.38
35,ტყიბული,41.9,40.86,13.43,3.81
36,ყვარელი,29.28,54.28,10.48,5.96
37,გორი,31.71,59.65,2.77,5.87
38,ლაგოდეხი,37.5,52.44,5.89,4.18
39,თეთრიწყარო,40.62,38.67,17.23,3.49
40,ცაგერი,36.81,55.07,8.12,0.0
41,ხონი,40.78,56.9,1.98,0.34
42,წალკა,34.65,60.86,4.48,0.0
43,თიანეთი,33.37,51.98,14.65,0.0
44,დუშეთი,33.42,52.74,4.2,9.64
45,თერჯოლა,25.3,62.22,9.44,3.04
46,ქარელი,18.0,70.22,11.41,0.37
47,ცხინვალი,62.61,37.39,0.0,0.0
48,სიღნაღი,40.51,37.88,14.47,7.13
49,დედოფლისწყარო,45.38,44.25,10.02,0.35
50,სენაკი,48.1,40.18,8.01,3.7
51,ბორჯომი,40.3,46.02,9.93,3.74
52,ახმეტა,27.05,58.15,11.09,3.71
53,ლენტეხი,30.7,69.3,0.0,0.0
54,მესტია,40.1,34.58,24.57,0.75
55,ხობი,38.35,50.77,10.04,0.84
56,ასპინძა,30.16,42.87,17.8,9.17
57,ხარაგაული,44.39,47.52,8.1,0.0
58,ყაზბეგი,27.18,40.37,11.85,20.6
59,OCCUPIEDABKH,35.36,47.41,17.23,0.0
60,ახალგორი,12.47,87.53,0.0,0.0
61,წალენჯიხა,27.17,49.81,14.74,8.27
62,ონი,35.23,20.29,3.86,40.61
