,Born,Sinopharm,Pfizer,SINOVAC,AstraZeneca
0,ლანჩხუთი,46.51,38.37,12.21,2.91
1,თბილისი,30.28,51.61,8.28,9.83
2,ოზურგეთი,35.38,54.87,7.18,2.56
3,ქუთაისი,23.8,66.24,6.47,3.49
4,blank,17.72,74.37,6.96,0.95
5,ხაშური,24.12,64.2,10.12,1.56
6,ჭიათურა,22.36,68.63,7.14,1.86
7,ადიგენი,35.62,50.68,9.59,4.11
8,ბოლნისი,32.82,48.85,12.98,5.34
9,საგარეჯო,37.74,51.89,9.43,0.94
10,ჩოხატაური,34.88,41.86,19.77,3.49
11,წყალტუბო,35.25,55.4,6.47,2.88
12,OCCUPIED,27.57,57.27,8.65,6.52
13,დმანისი,10.0,65.0,15.0,10.0
14,საჩხერე,28.4,58.44,9.88,3.29
15,ფოთი,38.04,42.93,15.76,3.26
16,ხელვაჩაური,27.84,59.18,9.8,3.18
17,ახალციხე,33.33,60.47,4.65,1.55
18,მარნეული,22.22,62.63,13.13,2.02
19,გურჯაანი,26.27,67.06,5.1,1.57
20,რუსთავი,26.75,60.33,8.49,4.43
21,გარდაბანი,28.5,58.55,9.84,3.11
22,თელავი,32.79,54.66,9.31,3.24
23,ნინოწმინდა,37.5,45.83,16.67,0.0
24,ახალქალაქი,51.28,33.33,15.38,0.0
25,ჩხოროწყუ,47.25,41.76,10.99,0.0
26,მცხეთა,28.9,58.26,8.72,4.13
27,ზუგდიდი,27.35,61.43,7.62,3.59
28,სამტრედია,30.86,56.0,10.86,2.29
29,ბაღდათი,24.14,64.37,9.2,2.3
30,მარტვილი,34.95,53.4,9.71,1.94
31,კასპი,31.25,59.13,8.17,1.44
32,ზესტაფონი,24.9,57.68,12.86,4.56
33,ამბროლაური,24.74,59.79,10.31,5.15
34,ვანი,53.74,42.86,3.4,0.0
35,ტყიბული,44.79,41.67,10.42,3.12
36,ყვარელი,35.48,51.61,8.87,4.03
37,გორი,31.33,59.1,3.94,5.63
38,ლაგოდეხი,35.16,49.22,7.03,8.59
39,თეთრიწყარო,45.65,45.65,4.35,4.35
40,ცაგერი,38.18,52.73,5.45,3.64
41,ხონი,37.5,55.0,6.25,1.25
42,წალკა,22.22,69.44,8.33,0.0
43,თიანეთი,30.77,51.28,15.38,2.56
44,დუშეთი,32.95,53.41,7.95,5.68
45,თერჯოლა,25.93,60.0,11.85,2.22
46,ქარელი,21.13,68.31,7.04,3.52
47,ცხინვალი,52.94,41.18,0.0,5.88
48,სიღნაღი,47.22,39.81,8.33,4.63
49,დედოფლისწყარო,45.05,44.14,9.01,1.8
50,სენაკი,44.26,36.89,14.75,4.1
51,ბორჯომი,38.1,50.48,10.48,0.95
52,ახმეტა,31.43,58.57,5.71,4.29
53,ლენტეხი,30.77,61.54,7.69,0.0
54,მესტია,28.57,42.86,25.0,3.57
55,ხობი,37.36,50.55,10.99,1.1
56,ასპინძა,36.36,47.73,15.91,0.0
57,ხარაგაული,43.59,46.15,8.97,1.28
58,ყაზბეგი,25.0,65.0,10.0,0.0
59,OCCUPIEDABKH,26.67,66.67,0.0,6.67
60,ახალგორი,40.0,60.0,0.0,0.0
61,წალენჯიხა,32.88,50.68,16.44,0.0
62,ონი,48.0,44.0,4.0,4.0
