,Born,Sinopharm,Pfizer,SINOVAC,AstraZeneca
0,ლანჩხუთი,89,69,31,20
1,თბილისი,1986,3401,546,649
2,ოზურგეთი,139,211,35,24
3,ქუთაისი,199,545,58,33
4,blank,63,249,30,15
5,ხაშური,70,175,35,17
6,ჭიათურა,78,235,33,19
7,ადიგენი,35,46,20,19
8,ბოლნისი,52,67,28,17
9,საგარეჯო,46,61,22,17
10,ჩოხატაური,41,43,29,14
11,წყალტუბო,56,84,24,15
12,აფხაზეთი,237,496,71,63
13,დმანისი,15,37,20,17
14,საჩხერე,72,153,32,19
15,ფოთი,75,88,37,18
16,ხელვაჩაური,565,1207,199,68
17,ახალციხე,51,84,18,17
18,მარნეული,29,72,22,18
19,გურჯაანი,70,181,22,18
20,რუსთავი,158,349,59,32
21,გარდაბანი,62,121,28,17
22,თელავი,87,142,27,21
23,ნინოწმინდა,23,24,16,0
24,ახალქალაქი,27,25,22,15
25,ჩხოროწყუ,46,46,24,19
26,მცხეთა,68,138,32,21
27,ზუგდიდი,134,296,43,24
28,სამტრედია,62,108,28,18
29,ბაღდათი,30,59,19,17
30,მარტვილი,48,60,24,17
31,კასპი,68,128,28,18
32,ზესტაფონი,63,145,37,22
33,ამბროლაური,31,65,21,19
34,ვანი,89,69,16,15
35,ტყიბული,51,47,22,14
36,ყვარელი,51,67,26,19
37,გორი,178,336,32,39
38,ლაგოდეხი,51,74,22,24
39,თეთრიწყარო,30,30,13,17
40,ცაგერი,35,36,20,16
41,ხონი,43,50,18,15
42,წალკა,22,33,18,15
43,თიანეთი,25,31,21,15
44,დუშეთი,41,55,20,17
45,თერჯოლა,44,84,27,16
46,ქარელი,41,102,21,17
47,ცხინვალი,21,18,18,18
48,სიღნაღი,56,47,23,21
49,დედოფლისწყარო,58,54,22,17
50,სენაკი,61,53,31,17
51,ბორჯომი,48,58,24,0
52,ახმეტა,31,48,18,17
53,ლენტეხი,20,23,16,14
54,მესტია,23,22,21,16
55,ხობი,41,51,21,17
56,ასპინძა,26,30,18,17
57,ხარაგაული,45,44,19,18
58,ყაზბეგი,18,27,19,13
59,ახალგორი,17,22,17,14
60,წალენჯიხა,29,41,21,15
61,ონი,23,25,0,19
