,vaccinationPlace,Sinopharm,Pfizer,SINOVAC,AstraZeneca
0,ლანჩხუთი,98,33,33,16
1,თბილისი,2483,5139,668,752
2,ბათუმი,412,1129,132,62
3,ქუთაისი,281,752,87,49
4,მცხეთა,66,183,34,28
5,საჩხერე,65,313,36,24
6,ახალციხე,43,70,17,17
7,საგარეჯო,45,54,24,12
8,ჩოხატაური,43,33,31,12
9,წყალტუბო,29,31,17,18
10,ზუგდიდი,133,385,38,36
11,ფოთი,90,99,31,18
12,ქობულეთი,54,162,37,16
13,ოზურგეთი,110,92,15,13
14,მარნეული,32,99,31,23
15,რუსთავი,149,139,48,26
16,შუახევი,26,32,18,13
17,გარდაბანი,26,41,20,14
18,თელავი,88,133,38,26
19,ნინოწმინდა,17,22,17,14
20,გორი,265,395,45,36
21,ახალქალაქი,33,22,25,15
22,სენაკი,64,21,27,14
23,ქედა,35,39,23,15
24,გურჯაანი,55,124,23,16
25,ჩხოროწყუ,42,32,23,16
26,ონი,29,22,17,15
27,ქარელი,32,90,19,17
28,ბაღდათი,30,53,16,16
29,კასპი,39,19,25,0
30,ზესტაფონი,53,80,39,16
31,ყვარელი,49,62,19,16
32,ადიგენი,34,23,21,16
33,თერჯოლა,49,65,21,13
34,ვანი,18,37,16,13
35,ცხინვალი,14,5,14,0
36,დუშეთი,35,43,19,20
37,დედოფლისწყარო,50,48,18,13
38,ხულო,35,50,29,15
39,ჭიათურა,47,23,24,14
40,სამტრედია,32,61,22,16
41,ხობი,34,34,19,16
42,ხაშური,55,42,33,16
43,ლაგოდეხი,50,42,22,24
44,ახმეტა,26,32,15,13
45,ცაგერი,36,24,21,14
46,ბორჯომი,43,60,21,18
47,ყაზბეგი,20,16,16,14
48,ბოლნისი,52,47,30,16
49,სიღნაღი,51,19,21,13
50,მესტია,22,18,19,0
51,ასპინძა,23,23,17,16
52,ხელვაჩაური,53,19,30,16
53,ამბროლაური,30,41,24,20
54,თეთრიწყარო,47,14,17,17
55,ტყიბული,31,24,16,14
56,თიანეთი,26,20,18,16
57,ხონი,28,32,14,15
58,ლენტეხი,20,16,15,14
59,ხარაგაული,32,16,20,12
60,მარტვილი,36,31,25,14
61,დმანისი,18,24,13,15
62,აბაშა,33,17,21,15
63,წალენჯიხა,31,28,20,16
64,წალკა,19,21,24,14
65,ახალგორი,16,0,18,18
