,vaccinationPlace,Sinopharm,Pfizer,SINOVAC,AstraZeneca
0,ლანჩხუთი,91,21,21,0
1,თბილისი,2486,5137,667,754
2,ბათუმი,384,1061,121,57
3,ქუთაისი,263,704,79,42
4,მცხეთა,62,174,26,18
5,საჩხერე,63,294,27,11
6,ახალციხე,36,64,4,3
7,საგარეჯო,37,48,10,0
8,ჩოხატაური,34,19,19,0
9,წყალტუბო,20,21,5,2
10,ზუგდიდი,127,364,33,23
11,ფოთი,80,91,21,0
12,ქობულეთი,42,153,28,5
13,ოზურგეთი,109,93,16,11
14,მარნეული,21,96,17,8
15,რუსთავი,142,131,41,18
16,შუახევი,11,20,3,0
17,გარდაბანი,18,32,11,3
18,თელავი,74,123,28,16
19,ნინოწმინდა,6,11,2,0
20,გორი,251,369,34,32
21,ახალქალაქი,22,10,10,0
22,სენაკი,52,14,15,0
23,ქედა,28,30,9,0
24,გურჯაანი,47,120,9,4
25,ჩხოროწყუ,34,23,10,0
26,ონი,19,9,6,0
27,ქარელი,24,86,7,0
28,ბაღდათი,19,46,2,0
29,კასპი,32,3,10,1
30,ზესტაფონი,46,78,27,2
31,ყვარელი,43,57,5,0
32,ადიგენი,23,16,3,0
33,თერჯოლა,43,55,10,0
34,ვანი,6,28,2,0
35,ცხინვალი,14,0,8,0
36,დუშეთი,23,35,10,5
37,დედოფლისწყარო,38,44,8,1
38,ხულო,28,41,13,0
39,ჭიათურა,42,13,14,0
40,სამტრედია,24,54,11,1
41,ხობი,23,25,7,0
42,ხაშური,47,30,26,4
43,ლაგოდეხი,43,33,10,11
44,ახმეტა,11,23,1,0
45,ცაგერი,25,14,5,0
46,ბორჯომი,38,50,9,0
47,ყაზბეგი,8,3,4,0
48,ბოლნისი,46,41,20,1
49,სიღნაღი,43,3,7,0
50,მესტია,10,4,7,0
51,ასპინძა,13,8,4,0
52,ხელვაჩაური,39,5,13,2
53,ამბროლაური,22,37,10,4
54,თეთრიწყარო,34,1,2,0
55,ტყიბული,24,14,3,0
56,თიანეთი,18,7,9,0
57,ხონი,17,20,0,0
58,ლენტეხი,5,0,2,0
59,ხარაგაული,24,0,5,0
60,მარტვილი,30,22,12,0
61,დმანისი,3,10,0,0
62,აბაშა,26,0,10,1
63,წალენჯიხა,24,17,8,0
64,წალკა,8,6,9,0
65,ახალგორი,0,0,3,0
