,vaccPlace,Sinopharm,Pfizer,SINOVAC,AstraZeneca
0,ლანჩხუთი,68.42,15.79,15.79,0.0
1,თბილისი,27.49,56.8,7.38,8.34
2,ბათუმი,23.66,65.37,7.46,3.51
3,ქუთაისი,24.17,64.71,7.26,3.86
4,მცხეთა,22.14,62.14,9.29,6.43
5,საჩხერე,15.95,74.43,6.84,2.78
6,ახალციხე,33.64,59.81,3.74,2.8
7,საგარეჯო,38.95,50.53,10.53,0.0
8,ჩოხატაური,47.22,26.39,26.39,0.0
9,წყალტუბო,41.67,43.75,10.42,4.17
10,ზუგდიდი,23.22,66.54,6.03,4.2
11,ფოთი,41.67,47.4,10.94,0.0
12,ქობულეთი,18.42,67.11,12.28,2.19
13,ოზურგეთი,47.6,40.61,6.99,4.8
14,მარნეული,14.79,67.61,11.97,5.63
15,რუსთავი,42.77,39.46,12.35,5.42
16,შუახევი,32.35,58.82,8.82,0.0
17,გარდაბანი,28.12,50.0,17.19,4.69
18,თელავი,30.71,51.04,11.62,6.64
19,ნინოწმინდა,31.58,57.89,10.53,0.0
20,გორი,36.59,53.79,4.96,4.66
21,ახალქალაქი,52.38,23.81,23.81,0.0
22,სენაკი,64.2,17.28,18.52,0.0
23,ქედა,41.79,44.78,13.43,0.0
24,გურჯაანი,26.11,66.67,5.0,2.22
25,ჩხოროწყუ,50.75,34.33,14.93,0.0
26,ონი,55.88,26.47,17.65,0.0
27,ქარელი,20.51,73.5,5.98,0.0
28,ბაღდათი,28.36,68.66,2.99,0.0
29,კასპი,69.57,6.52,21.74,2.17
30,ზესტაფონი,30.07,50.98,17.65,1.31
31,ყვარელი,40.95,54.29,4.76,0.0
32,ადიგენი,54.76,38.1,7.14,0.0
33,თერჯოლა,39.81,50.93,9.26,0.0
34,ვანი,16.67,77.78,5.56,0.0
35,ცხინვალი,63.64,0.0,36.36,0.0
36,დუშეთი,31.51,47.95,13.7,6.85
37,დედოფლისწყარო,41.76,48.35,8.79,1.1
38,ხულო,34.15,50.0,15.85,0.0
39,ჭიათურა,60.87,18.84,20.29,0.0
40,სამტრედია,26.67,60.0,12.22,1.11
41,ხობი,41.82,45.45,12.73,0.0
42,ხაშური,43.93,28.04,24.3,3.74
43,ლაგოდეხი,44.33,34.02,10.31,11.34
44,ახმეტა,31.43,65.71,2.86,0.0
45,ცაგერი,56.82,31.82,11.36,0.0
46,ბორჯომი,39.18,51.55,9.28,0.0
47,ყაზბეგი,53.33,20.0,26.67,0.0
48,ბოლნისი,42.59,37.96,18.52,0.93
49,სიღნაღი,81.13,5.66,13.21,0.0
50,მესტია,47.62,19.05,33.33,0.0
51,ასპინძა,52.0,32.0,16.0,0.0
52,ხელვაჩაური,66.1,8.47,22.03,3.39
53,ამბროლაური,30.14,50.68,13.7,5.48
54,თეთრიწყარო,91.89,2.7,5.41,0.0
55,ტყიბული,58.54,34.15,7.32,0.0
56,თიანეთი,52.94,20.59,26.47,0.0
57,ხონი,45.95,54.05,0.0,0.0
58,ლენტეხი,71.43,0.0,28.57,0.0
59,ხარაგაული,82.76,0.0,17.24,0.0
60,მარტვილი,46.88,34.38,18.75,0.0
61,დმანისი,23.08,76.92,0.0,0.0
62,აბაშა,70.27,0.0,27.03,2.7
63,წალენჯიხა,48.98,34.69,16.33,0.0
64,წალკა,34.78,26.09,39.13,0.0
65,ახალგორი,0.0,0.0,100.0,0.0
